region_1,region_2,carrier_1,timestep_2,timestep_3,parameter,value
mexico,bajaCalifornia,power,2040,q2p,dem,2.79
mexico,bajaCalifornia,power,2045,q2p,dem,3.15
mexico,bajaCalifornia,power,2050,q2p,dem,3.55
mexico,bajaCalifornia,power,2020,q2a,dem,1.22
mexico,bajaCalifornia,power,2025,q2a,dem,1.38
mexico,bajaCalifornia,power,2030,q2a,dem,1.55
mexico,bajaCalifornia,power,2035,q2a,dem,1.75
mexico,bajaCalifornia,power,2040,q2a,dem,1.98
mexico,bajaCalifornia,power,2045,q2a,dem,2.23
mexico,bajaCalifornia,power,2050,q2a,dem,2.51
mexico,bajaCalifornia,power,2020,q3n,dem,3.64
mexico,bajaCalifornia,power,2025,q3n,dem,4.11
mexico,bajaCalifornia,power,2030,q3n,dem,4.63
mexico,bajaCalifornia,power,2035,q3n,dem,5.22
mexico,bajaCalifornia,power,2040,q3n,dem,5.89
mexico,bajaCalifornia,power,2045,q3n,dem,6.64
mexico,bajaCalifornia,power,2050,q3n,dem,7.48
mexico,bajaCalifornia,power,2020,q3m,dem,1.03
mexico,bajaCalifornia,power,2025,q3m,dem,1.16
mexico,bajaCalifornia,power,2030,q3m,dem,1.31
mexico,bajaCalifornia,power,2035,q3m,dem,1.48
mexico,bajaCalifornia,power,2040,q3m,dem,1.67
mexico,bajaCalifornia,power,2045,q3m,dem,1.88
mexico,bajaCalifornia,power,2050,q3m,dem,2.12
mexico,bajaCalifornia,power,2020,q3p,dem,2.68
mexico,bajaCalifornia,power,2025,q3p,dem,3.02
mexico,bajaCalifornia,power,2030,q3p,dem,3.4
mexico,bajaCalifornia,power,2035,q3p,dem,3.84
mexico,bajaCalifornia,power,2040,q3p,dem,4.33
mexico,bajaCalifornia,power,2045,q3p,dem,4.88
mexico,bajaCalifornia,power,2050,q3p,dem,5.5
mexico,bajaCalifornia,power,2020,q3a,dem,1.65
mexico,bajaCalifornia,power,2025,q3a,dem,1.86
mexico,bajaCalifornia,power,2030,q3a,dem,2.09
mexico,bajaCalifornia,power,2035,q3a,dem,2.36
mexico,bajaCalifornia,power,2040,q3a,dem,2.66
mexico,bajaCalifornia,power,2045,q3a,dem,3
mexico,bajaCalifornia,power,2050,q3a,dem,3.38
mexico,bajaCalifornia,power,2020,q4n,dem,3.17
mexico,bajaCalifornia,power,2025,q4n,dem,3.58
mexico,bajaCalifornia,power,2030,q4n,dem,4.04
mexico,bajaCalifornia,power,2035,q4n,dem,4.55
mexico,bajaCalifornia,power,2040,q4n,dem,5.13
mexico,bajaCalifornia,power,2045,q4n,dem,5.79
mexico,bajaCalifornia,power,2050,q4n,dem,6.52
mexico,bajaCalifornia,power,2020,q4m,dem,0.61
mexico,bajaCalifornia,power,2025,q4m,dem,0.69
mexico,bajaCalifornia,power,2030,q4m,dem,0.78
mexico,bajaCalifornia,power,2035,q4m,dem,0.88
mexico,bajaCalifornia,power,2040,q4m,dem,0.99
mexico,bajaCalifornia,power,2045,q4m,dem,1.12
mexico,bajaCalifornia,power,2050,q4m,dem,1.26
mexico,bajaCalifornia,power,2020,q4p,dem,1.87
mexico,bajaCalifornia,power,2025,q4p,dem,2.11
mexico,bajaCalifornia,power,2030,q4p,dem,2.38
mexico,bajaCalifornia,power,2035,q4p,dem,2.68
mexico,bajaCalifornia,power,2040,q4p,dem,3.02
mexico,bajaCalifornia,power,2045,q4p,dem,3.41
mexico,bajaCalifornia,power,2050,q4p,dem,3.85
mexico,bajaCalifornia,power,2020,q4a,dem,0.8
mexico,bajaCalifornia,power,2025,q4a,dem,0.9
mexico,bajaCalifornia,power,2030,q4a,dem,1.02
mexico,bajaCalifornia,power,2035,q4a,dem,1.15
mexico,bajaCalifornia,power,2040,q4a,dem,1.29
mexico,bajaCalifornia,power,2045,q4a,dem,1.46
mexico,bajaCalifornia,power,2050,q4a,dem,1.64
mexico,bajaCaliforniaSur,power,2020,q1n,dem,0.39
mexico,bajaCaliforniaSur,power,2025,q1n,dem,0.44
mexico,bajaCaliforniaSur,power,2030,q1n,dem,0.49
mexico,bajaCaliforniaSur,power,2035,q1n,dem,0.56
mexico,bajaCaliforniaSur,power,2040,q1n,dem,0.63
mexico,bajaCaliforniaSur,power,2045,q1n,dem,0.71
mexico,bajaCaliforniaSur,power,2050,q1n,dem,0.8
mexico,bajaCaliforniaSur,power,2020,q1m,dem,0.1
mexico,bajaCaliforniaSur,power,2025,q1m,dem,0.12
mexico,bajaCaliforniaSur,power,2030,q1m,dem,0.13
mexico,bajaCaliforniaSur,power,2035,q1m,dem,0.15
mexico,bajaCaliforniaSur,power,2040,q1m,dem,0.17
mexico,bajaCaliforniaSur,power,2045,q1m,dem,0.19
mexico,bajaCaliforniaSur,power,2050,q1m,dem,0.21
mexico,bajaCaliforniaSur,power,2020,q1p,dem,0.34
mexico,bajaCaliforniaSur,power,2025,q1p,dem,0.38
mexico,bajaCaliforniaSur,power,2030,q1p,dem,0.43
mexico,bajaCaliforniaSur,power,2035,q1p,dem,0.48
mexico,bajaCaliforniaSur,power,2040,q1p,dem,0.54
mexico,bajaCaliforniaSur,power,2045,q1p,dem,0.61
mexico,bajaCaliforniaSur,power,2050,q1p,dem,0.69
mexico,bajaCaliforniaSur,power,2020,q1a,dem,0.18
mexico,bajaCaliforniaSur,power,2025,q1a,dem,0.2
mexico,bajaCaliforniaSur,power,2030,q1a,dem,0.23
mexico,bajaCaliforniaSur,power,2035,q1a,dem,0.26
mexico,bajaCaliforniaSur,power,2040,q1a,dem,0.29
mexico,bajaCaliforniaSur,power,2045,q1a,dem,0.33
mexico,bajaCaliforniaSur,power,2050,q1a,dem,0.37
mexico,bajaCaliforniaSur,power,2020,q2n,dem,0.49
mexico,bajaCaliforniaSur,power,2025,q2n,dem,0.55
mexico,bajaCaliforniaSur,power,2030,q2n,dem,0.62
mexico,bajaCaliforniaSur,power,2035,q2n,dem,0.7
mexico,bajaCaliforniaSur,power,2040,q2n,dem,0.79
mexico,bajaCaliforniaSur,power,2045,q2n,dem,0.89
mexico,bajaCaliforniaSur,power,2050,q2n,dem,1.01
mexico,bajaCaliforniaSur,power,2020,q2m,dem,0.13
mexico,bajaCaliforniaSur,power,2025,q2m,dem,0.15
mexico,bajaCaliforniaSur,power,2030,q2m,dem,0.17
mexico,bajaCaliforniaSur,power,2035,q2m,dem,0.19
mexico,bajaCaliforniaSur,power,2040,q2m,dem,0.22
mexico,bajaCaliforniaSur,power,2045,q2m,dem,0.25
mexico,bajaCaliforniaSur,power,2050,q2m,dem,0.28
mexico,bajaCaliforniaSur,power,2020,q2p,dem,0.36
mexico,bajaCaliforniaSur,power,2025,q2p,dem,0.4
mexico,bajaCaliforniaSur,power,2030,q2p,dem,0.45
mexico,bajaCaliforniaSur,power,2035,q2p,dem,0.51
mexico,bajaCaliforniaSur,power,2040,q2p,dem,0.58
mexico,bajaCaliforniaSur,power,2045,q2p,dem,0.65
mexico,bajaCaliforniaSur,power,2050,q2p,dem,0.73
mexico,bajaCaliforniaSur,power,2020,q2a,dem,0.23
mexico,bajaCaliforniaSur,power,2025,q2a,dem,0.26
mexico,bajaCaliforniaSur,power,2030,q2a,dem,0.3
mexico,bajaCaliforniaSur,power,2035,q2a,dem,0.33
mexico,bajaCaliforniaSur,power,2040,q2a,dem,0.38
mexico,bajaCaliforniaSur,power,2045,q2a,dem,0.43
mexico,bajaCaliforniaSur,power,2050,q2a,dem,0.48
mexico,bajaCaliforniaSur,power,2020,q3n,dem,0.6
mexico,bajaCaliforniaSur,power,2025,q3n,dem,0.68
mexico,bajaCaliforniaSur,power,2030,q3n,dem,0.76
mexico,bajaCaliforniaSur,power,2035,q3n,dem,0.86
mexico,bajaCaliforniaSur,power,2040,q3n,dem,0.97
mexico,bajaCaliforniaSur,power,2045,q3n,dem,1.09
mexico,bajaCaliforniaSur,power,2050,q3n,dem,1.23
mexico,bajaCaliforniaSur,power,2020,q3m,dem,0.17
mexico,bajaCaliforniaSur,power,2025,q3m,dem,0.19
mexico,bajaCaliforniaSur,power,2030,q3m,dem,0.22
mexico,bajaCaliforniaSur,power,2035,q3m,dem,0.25
mexico,bajaCaliforniaSur,power,2040,q3m,dem,0.28
mexico,bajaCaliforniaSur,power,2045,q3m,dem,0.31
mexico,bajaCaliforniaSur,power,2050,q3m,dem,0.35
mexico,bajaCaliforniaSur,power,2020,q3p,dem,0.48
mexico,bajaCaliforniaSur,power,2025,q3p,dem,0.54
mexico,bajaCaliforniaSur,power,2030,q3p,dem,0.61
mexico,bajaCaliforniaSur,power,2035,q3p,dem,0.69
mexico,bajaCaliforniaSur,power,2040,q3p,dem,0.78
mexico,bajaCaliforniaSur,power,2045,q3p,dem,0.88
mexico,bajaCaliforniaSur,power,2050,q3p,dem,0.99
mexico,bajaCaliforniaSur,power,2020,q3a,dem,0.27
mexico,bajaCaliforniaSur,power,2025,q3a,dem,0.31
mexico,bajaCaliforniaSur,power,2030,q3a,dem,0.35
mexico,bajaCaliforniaSur,power,2035,q3a,dem,0.39
mexico,bajaCaliforniaSur,power,2040,q3a,dem,0.44
mexico,bajaCaliforniaSur,power,2045,q3a,dem,0.5
mexico,bajaCaliforniaSur,power,2050,q3a,dem,0.56
mexico,bajaCaliforniaSur,power,2020,q4n,dem,0.62
mexico,bajaCaliforniaSur,power,2025,q4n,dem,0.7
mexico,bajaCaliforniaSur,power,2030,q4n,dem,0.79
mexico,bajaCaliforniaSur,power,2035,q4n,dem,0.89
mexico,bajaCaliforniaSur,power,2040,q4n,dem,1.01
mexico,bajaCaliforniaSur,power,2045,q4n,dem,1.14
mexico,bajaCaliforniaSur,power,2050,q4n,dem,1.28
mexico,bajaCaliforniaSur,power,2020,q4m,dem,0.12
mexico,bajaCaliforniaSur,power,2025,q4m,dem,0.14
mexico,bajaCaliforniaSur,power,2030,q4m,dem,0.16
mexico,bajaCaliforniaSur,power,2035,q4m,dem,0.18
mexico,bajaCaliforniaSur,power,2040,q4m,dem,0.2
mexico,bajaCaliforniaSur,power,2045,q4m,dem,0.23
mexico,bajaCaliforniaSur,power,2050,q4m,dem,0.26
mexico,bajaCaliforniaSur,power,2020,q4p,dem,0.39
mexico,bajaCaliforniaSur,power,2025,q4p,dem,0.44
mexico,bajaCaliforniaSur,power,2030,q4p,dem,0.5
mexico,bajaCaliforniaSur,power,2035,q4p,dem,0.57
mexico,bajaCaliforniaSur,power,2040,q4p,dem,0.64
mexico,bajaCaliforniaSur,power,2045,q4p,dem,0.72
mexico,bajaCaliforniaSur,power,2050,q4p,dem,0.81
mexico,bajaCaliforniaSur,power,2020,q4a,dem,0.16
mexico,bajaCaliforniaSur,power,2025,q4a,dem,0.18
mexico,bajaCaliforniaSur,power,2030,q4a,dem,0.21
mexico,bajaCaliforniaSur,power,2035,q4a,dem,0.23
mexico,bajaCaliforniaSur,power,2040,q4a,dem,0.26
mexico,bajaCaliforniaSur,power,2045,q4a,dem,0.3
mexico,bajaCaliforniaSur,power,2050,q4a,dem,0.33
mexico,peninsular,power,2020,q1n,dem,1.96
mexico,peninsular,power,2025,q1n,dem,2.21
mexico,peninsular,power,2030,q1n,dem,2.5
mexico,peninsular,power,2035,q1n,dem,2.82
mexico,peninsular,power,2040,q1n,dem,3.18
mexico,peninsular,power,2045,q1n,dem,3.58
mexico,peninsular,power,2050,q1n,dem,4.04
mexico,peninsular,power,2020,q1m,dem,0.53
mexico,peninsular,power,2025,q1m,dem,0.6
mexico,peninsular,power,2030,q1m,dem,0.68
mexico,peninsular,power,2035,q1m,dem,0.76
mexico,peninsular,power,2040,q1m,dem,0.86
mexico,peninsular,power,2045,q1m,dem,0.97
mexico,peninsular,power,2050,q1m,dem,1.09
mexico,peninsular,power,2020,q1p,dem,1.78
mexico,peninsular,power,2025,q1p,dem,2.01
mexico,peninsular,power,2030,q1p,dem,2.26
mexico,peninsular,power,2035,q1p,dem,2.55
mexico,peninsular,power,2040,q1p,dem,2.88
mexico,peninsular,power,2045,q1p,dem,3.25
mexico,peninsular,power,2050,q1p,dem,3.66
mexico,peninsular,power,2020,q1a,dem,0.96
mexico,peninsular,power,2025,q1a,dem,1.08
mexico,peninsular,power,2030,q1a,dem,1.22
mexico,peninsular,power,2035,q1a,dem,1.37
mexico,peninsular,power,2040,q1a,dem,1.55
mexico,peninsular,power,2045,q1a,dem,1.75
mexico,peninsular,power,2050,q1a,dem,1.97
mexico,peninsular,power,2020,q2n,dem,2.42
mexico,peninsular,power,2025,q2n,dem,2.73
mexico,peninsular,power,2030,q2n,dem,3.08
mexico,peninsular,power,2035,q2n,dem,3.48
mexico,peninsular,power,2040,q2n,dem,3.92
mexico,peninsular,power,2045,q2n,dem,4.42
mexico,peninsular,power,2050,q2n,dem,4.98
mexico,peninsular,power,2020,q2m,dem,0.66
mexico,peninsular,power,2025,q2m,dem,0.75
mexico,peninsular,power,2030,q2m,dem,0.84
mexico,peninsular,power,2035,q2m,dem,0.95
mexico,peninsular,power,2040,q2m,dem,1.07
mexico,peninsular,power,2045,q2m,dem,1.21
mexico,peninsular,power,2050,q2m,dem,1.36
mexico,peninsular,power,2020,q2p,dem,1.86
mexico,peninsular,power,2025,q2p,dem,2.1
mexico,peninsular,power,2030,q2p,dem,2.37
mexico,peninsular,power,2035,q2p,dem,2.67
mexico,peninsular,power,2040,q2p,dem,3.01
mexico,peninsular,power,2045,q2p,dem,3.39
mexico,peninsular,power,2050,q2p,dem,3.83
mexico,peninsular,power,2020,q2a,dem,1.11
mexico,peninsular,power,2025,q2a,dem,1.25
mexico,peninsular,power,2030,q2a,dem,1.41
mexico,peninsular,power,2035,q2a,dem,1.59
mexico,peninsular,power,2040,q2a,dem,1.79
mexico,peninsular,power,2045,q2a,dem,2.02
mexico,peninsular,power,2050,q2a,dem,2.27
mexico,peninsular,power,2020,q3n,dem,2.6
mexico,peninsular,power,2025,q3n,dem,2.94
mexico,peninsular,power,2030,q3n,dem,3.31
mexico,peninsular,power,2035,q3n,dem,3.73
mexico,peninsular,power,2040,q3n,dem,4.21
mexico,peninsular,power,2045,q3n,dem,4.75
mexico,peninsular,power,2050,q3n,dem,5.35
mexico,peninsular,power,2020,q3m,dem,0.72
mexico,peninsular,power,2025,q3m,dem,0.81
mexico,peninsular,power,2030,q3m,dem,0.91
mexico,peninsular,power,2035,q3m,dem,1.03
mexico,peninsular,power,2040,q3m,dem,1.16
mexico,peninsular,power,2045,q3m,dem,1.31
mexico,peninsular,power,2050,q3m,dem,1.47
mexico,peninsular,power,2020,q3p,dem,2.24
mexico,peninsular,power,2025,q3p,dem,2.52
mexico,peninsular,power,2030,q3p,dem,2.84
mexico,peninsular,power,2035,q3p,dem,3.21
mexico,peninsular,power,2040,q3p,dem,3.62
mexico,peninsular,power,2045,q3p,dem,4.08
mexico,peninsular,power,2050,q3p,dem,4.6
mexico,peninsular,power,2020,q3a,dem,1.18
mexico,peninsular,power,2025,q3a,dem,1.33
mexico,peninsular,power,2030,q3a,dem,1.49
mexico,peninsular,power,2035,q3a,dem,1.69
mexico,peninsular,power,2040,q3a,dem,1.9
mexico,peninsular,power,2045,q3a,dem,2.14
mexico,peninsular,power,2050,q3a,dem,2.42
mexico,peninsular,power,2020,q4n,dem,2.79
mexico,peninsular,power,2025,q4n,dem,3.14
mexico,peninsular,power,2030,q4n,dem,3.55
mexico,peninsular,power,2035,q4n,dem,4
mexico,peninsular,power,2040,q4n,dem,4.51
mexico,peninsular,power,2045,q4n,dem,5.08
mexico,peninsular,power,2050,q4n,dem,5.73
mexico,peninsular,power,2020,q4m,dem,0.57
mexico,peninsular,power,2025,q4m,dem,0.64
mexico,peninsular,power,2030,q4m,dem,0.73
mexico,peninsular,power,2035,q4m,dem,0.82
mexico,peninsular,power,2040,q4m,dem,0.92
mexico,peninsular,power,2045,q4m,dem,1.04
mexico,peninsular,power,2050,q4m,dem,1.17
mexico,peninsular,power,2020,q4p,dem,1.92
mexico,peninsular,power,2025,q4p,dem,2.17
mexico,peninsular,power,2030,q4p,dem,2.45
mexico,peninsular,power,2035,q4p,dem,2.76
mexico,peninsular,power,2040,q4p,dem,3.11
mexico,peninsular,power,2045,q4p,dem,3.51
mexico,peninsular,power,2050,q4p,dem,3.95
mexico,peninsular,power,2020,q4a,dem,0.77
mexico,peninsular,power,2025,q4a,dem,0.87
mexico,peninsular,power,2030,q4a,dem,0.98
mexico,peninsular,power,2035,q4a,dem,1.1
mexico,peninsular,power,2040,q4a,dem,1.24
mexico,peninsular,power,2045,q4a,dem,1.4
mexico,peninsular,power,2050,q4a,dem,1.58
mexico,noreste,power,2020,q1n,dem,7.88
mexico,noreste,power,2025,q1n,dem,8.88
mexico,noreste,power,2030,q1n,dem,10.01
mexico,noreste,power,2035,q1n,dem,11.29
mexico,noreste,power,2040,q1n,dem,12.73
mexico,noreste,power,2045,q1n,dem,14.35
mexico,noreste,power,2050,q1n,dem,16.18
mexico,noreste,power,2020,q1m,dem,2.48
mexico,noreste,power,2025,q1m,dem,2.8
mexico,noreste,power,2030,q1m,dem,3.15
mexico,noreste,power,2035,q1m,dem,3.55
mexico,noreste,power,2040,q1m,dem,4.01
mexico,noreste,power,2045,q1m,dem,4.52
mexico,noreste,power,2050,q1m,dem,5.1
mexico,noreste,power,2020,q1p,dem,7.55
mexico,noreste,power,2025,q1p,dem,8.52
mexico,noreste,power,2030,q1p,dem,9.6
mexico,noreste,power,2035,q1p,dem,10.83
mexico,noreste,power,2040,q1p,dem,12.21
mexico,noreste,power,2045,q1p,dem,13.77
mexico,noreste,power,2050,q1p,dem,15.52
mexico,noreste,power,2020,q1a,dem,3.75
mexico,noreste,power,2025,q1a,dem,4.23
mexico,noreste,power,2030,q1a,dem,4.77
mexico,noreste,power,2035,q1a,dem,5.38
mexico,noreste,power,2040,q1a,dem,6.07
mexico,noreste,power,2045,q1a,dem,6.84
mexico,noreste,power,2050,q1a,dem,7.71
mexico,noreste,power,2020,q2n,dem,10
mexico,noreste,power,2025,q2n,dem,11.28
mexico,noreste,power,2030,q2n,dem,12.72
mexico,noreste,power,2035,q2n,dem,14.34
mexico,noreste,power,2040,q2n,dem,16.17
mexico,noreste,power,2045,q2n,dem,18.23
mexico,noreste,power,2050,q2n,dem,20.56
mexico,noreste,power,2020,q2m,dem,3.08
mexico,noreste,power,2025,q2m,dem,3.47
mexico,noreste,power,2030,q2m,dem,3.91
mexico,noreste,power,2035,q2m,dem,4.41
mexico,noreste,power,2040,q2m,dem,4.97
mexico,noreste,power,2045,q2m,dem,5.61
mexico,noreste,power,2050,q2m,dem,6.32
mexico,noreste,power,2020,q2p,dem,8.25
mexico,noreste,power,2025,q2p,dem,9.3
mexico,noreste,power,2030,q2p,dem,10.48
mexico,noreste,power,2035,q2p,dem,11.82
mexico,noreste,power,2040,q2p,dem,13.33
mexico,noreste,power,2045,q2p,dem,15.03
mexico,noreste,power,2050,q2p,dem,16.95
mexico,noreste,power,2020,q2a,dem,4.77
mexico,noreste,power,2025,q2a,dem,5.38
mexico,noreste,power,2030,q2a,dem,6.07
mexico,noreste,power,2035,q2a,dem,6.84
mexico,noreste,power,2040,q2a,dem,7.72
mexico,noreste,power,2045,q2a,dem,8.7
mexico,noreste,power,2050,q2a,dem,9.81
mexico,noreste,power,2020,q3n,dem,11.31
mexico,noreste,power,2025,q3n,dem,12.75
mexico,noreste,power,2030,q3n,dem,14.37
mexico,noreste,power,2035,q3n,dem,16.21
mexico,noreste,power,2040,q3n,dem,18.28
mexico,noreste,power,2045,q3n,dem,20.61
mexico,noreste,power,2050,q3n,dem,23.24
mexico,noreste,power,2020,q3m,dem,3.5
mexico,noreste,power,2025,q3m,dem,3.94
mexico,noreste,power,2030,q3m,dem,4.45
mexico,noreste,power,2035,q3m,dem,5.01
mexico,noreste,power,2040,q3m,dem,5.65
mexico,noreste,power,2045,q3m,dem,6.37
mexico,noreste,power,2050,q3m,dem,7.19
mexico,noreste,power,2020,q3p,dem,10.22
mexico,noreste,power,2025,q3p,dem,11.53
mexico,noreste,power,2030,q3p,dem,13
mexico,noreste,power,2035,q3p,dem,14.66
mexico,noreste,power,2040,q3p,dem,16.53
mexico,noreste,power,2045,q3p,dem,18.63
mexico,noreste,power,2050,q3p,dem,21.01
mexico,noreste,power,2020,q3a,dem,5.34
mexico,noreste,power,2025,q3a,dem,6.03
mexico,noreste,power,2030,q3a,dem,6.79
mexico,noreste,power,2035,q3a,dem,7.66
mexico,noreste,power,2040,q3a,dem,8.64
mexico,noreste,power,2045,q3a,dem,9.74
mexico,noreste,power,2050,q3a,dem,10.98
mexico,noreste,power,2020,q4n,dem,11.27
mexico,noreste,power,2025,q4n,dem,12.71
mexico,noreste,power,2030,q4n,dem,14.33
mexico,noreste,power,2035,q4n,dem,16.16
mexico,noreste,power,2040,q4n,dem,18.22
mexico,noreste,power,2045,q4n,dem,20.55
mexico,noreste,power,2050,q4n,dem,23.17
mexico,noreste,power,2020,q4m,dem,2.69
mexico,noreste,power,2025,q4m,dem,3.04
mexico,noreste,power,2030,q4m,dem,3.42
mexico,noreste,power,2035,q4m,dem,3.86
mexico,noreste,power,2040,q4m,dem,4.35
mexico,noreste,power,2045,q4m,dem,4.91
mexico,noreste,power,2050,q4m,dem,5.54
mexico,noreste,power,2020,q4p,dem,8.07
mexico,noreste,power,2025,q4p,dem,9.1
mexico,noreste,power,2030,q4p,dem,10.26
mexico,noreste,power,2035,q4p,dem,11.57
mexico,noreste,power,2040,q4p,dem,13.04
mexico,noreste,power,2045,q4p,dem,14.71
mexico,noreste,power,2050,q4p,dem,16.58
mexico,noreste,power,2020,q4a,dem,3.04
mexico,noreste,power,2025,q4a,dem,3.42
mexico,noreste,power,2030,q4a,dem,3.86
mexico,noreste,power,2035,q4a,dem,4.35
mexico,noreste,power,2040,q4a,dem,4.91
mexico,noreste,power,2045,q4a,dem,5.53
mexico,noreste,power,2050,q4a,dem,6.24
mexico,norte,power,2020,q1n,dem,3.86
mexico,norte,power,2025,q1n,dem,4.36
mexico,norte,power,2030,q1n,dem,4.91
mexico,norte,power,2035,q1n,dem,5.54
mexico,norte,power,2040,q1n,dem,6.25
mexico,norte,power,2045,q1n,dem,7.04
mexico,norte,power,2050,q1n,dem,7.94
mexico,norte,power,2020,q1m,dem,1.16
mexico,norte,power,2025,q1m,dem,1.31
mexico,norte,power,2030,q1m,dem,1.47
mexico,norte,power,2035,q1m,dem,1.66
mexico,norte,power,2040,q1m,dem,1.87
mexico,norte,power,2045,q1m,dem,2.11
mexico,norte,power,2050,q1m,dem,2.38
mexico,norte,power,2020,q1p,dem,3.56
mexico,norte,power,2025,q1p,dem,4.01
mexico,norte,power,2030,q1p,dem,4.53
mexico,norte,power,2035,q1p,dem,5.1
mexico,norte,power,2040,q1p,dem,5.75
mexico,norte,power,2045,q1p,dem,6.49
mexico,norte,power,2050,q1p,dem,7.32
mexico,norte,power,2020,q1a,dem,1.79
mexico,norte,power,2025,q1a,dem,2.01
mexico,norte,power,2030,q1a,dem,2.27
mexico,norte,power,2035,q1a,dem,2.56
mexico,norte,power,2040,q1a,dem,2.89
mexico,norte,power,2045,q1a,dem,3.25
mexico,norte,power,2050,q1a,dem,3.67
mexico,norte,power,2020,q2n,dem,5.1
mexico,norte,power,2025,q2n,dem,5.75
mexico,norte,power,2030,q2n,dem,6.48
mexico,norte,power,2035,q2n,dem,7.31
mexico,norte,power,2040,q2n,dem,8.24
mexico,norte,power,2045,q2n,dem,9.29
mexico,norte,power,2050,q2n,dem,10.48
mexico,norte,power,2020,q2m,dem,1.55
mexico,norte,power,2025,q2m,dem,1.74
mexico,norte,power,2030,q2m,dem,1.97
mexico,norte,power,2035,q2m,dem,2.22
mexico,norte,power,2040,q2m,dem,2.5
mexico,norte,power,2045,q2m,dem,2.82
mexico,norte,power,2050,q2m,dem,3.18
mexico,norte,power,2020,q2p,dem,4.23
mexico,norte,power,2025,q2p,dem,4.77
mexico,norte,power,2030,q2p,dem,5.38
mexico,norte,power,2035,q2p,dem,6.06
mexico,norte,power,2040,q2p,dem,6.84
mexico,norte,power,2045,q2p,dem,7.71
mexico,norte,power,2050,q2p,dem,8.69
mexico,norte,power,2020,q2a,dem,2.41
mexico,norte,power,2025,q2a,dem,2.72
mexico,norte,power,2030,q2a,dem,3.06
mexico,norte,power,2035,q2a,dem,3.46
mexico,norte,power,2040,q2a,dem,3.9
mexico,norte,power,2045,q2a,dem,4.39
mexico,norte,power,2050,q2a,dem,4.95
mexico,norte,power,2020,q3n,dem,5.08
mexico,norte,power,2025,q3n,dem,5.73
mexico,norte,power,2030,q3n,dem,6.46
mexico,norte,power,2035,q3n,dem,7.28
mexico,norte,power,2040,q3n,dem,8.21
mexico,norte,power,2045,q3n,dem,9.26
mexico,norte,power,2050,q3n,dem,10.44
mexico,norte,power,2020,q3m,dem,1.54
mexico,norte,power,2025,q3m,dem,1.74
mexico,norte,power,2030,q3m,dem,1.96
mexico,norte,power,2035,q3m,dem,2.21
mexico,norte,power,2040,q3m,dem,2.49
mexico,norte,power,2045,q3m,dem,2.81
mexico,norte,power,2050,q3m,dem,3.16
